link,companyName,locate,job,collectionDate,post,desc
https://www.seek.com.au/job/60071106?type=promoted,Private Advertiser,"Eltham, Melbourne VIC",Receptionists (Administration & Office Support),2023-02-06,2023-02-06,"Do you have experience in administration?
Which of the following Microsoft Office products are you experienced with?
"
https://www.seek.com.au/job/60070813?type=promoted,HCF Australia,"Bondi, Sydney NSW",Dental (Healthcare & Medical),2023-02-06,2023-02-06,
https://www.seek.com.au/job/60065252?type=standout,Private Advertiser,"Belmont, Brisbane QLD","Pickers & Packers (Manufacturing, Transport & Logistics)",2023-02-06,2023-02-06,"Which of the following statements best describes your right to work in Australia?
Do you have a current Australian driver's licence?
How many hours are you available to work per week?
How much notice are you required to give your current employer?
"
https://www.seek.com.au/job/60039516?type=standout,Veteran Medical,"Narrabeen, Sydney NSW",Administrative Assistants (Administration & Office Support),2023-02-06,2023-02-03,"Which of the following statements best describes your right to work in Australia?
Which of the following Microsoft Office products are you experienced with?
Do you have customer service experience?
Do you have data entry experience?
"
https://www.seek.com.au/job/60027100?type=standout,Quay Appointments,Sydney NSW,Data Entry & Word Processing (Administration & Office Support),2023-02-06,2023-02-03,
https://www.seek.com.au/job/60066324?type=standout,VMORE,Brisbane QLD,Medical Administration (Healthcare & Medical),2023-02-06,2023-02-06,"How many years' experience do you have as a medical secretary?
Which of the following medical practice management software do you have experience with?
"
https://www.seek.com.au/job/60069468?type=standard,Lifetime Wealth Planners,Sydney NSW,Administrative Assistants (Administration & Office Support),2023-02-06,2023-02-06,"Do you have experience in administration?
Which of the following Microsoft Office products are you experienced with?
"
https://www.seek.com.au/job/60030302?type=standard,Pet Resorts of Australia,"Terrigal, Gosford & Central Coast NSW","Veterinary Services & Animal Welfare (Farming, Animals & Conservation)",2023-02-06,2023-02-03,
https://www.seek.com.au/job/60071096?type=standout,Gourmet Basket,"Belrose, Sydney NSW",Customer Service - Call Centre (Call Centre & Customer Service),2023-02-06,2023-02-06,"Do you have customer service experience?
"
https://www.seek.com.au/job/60070928?type=standard,Wolfhouse,Brisbane QLD,"Veterinary Services & Animal Welfare (Farming, Animals & Conservation)",2023-02-06,2023-02-06,
https://www.seek.com.au/job/59801736?type=standard,Mecca Recruitment Group,Melbourne VIC,Customer Service - Call Centre (Call Centre & Customer Service),2023-02-06,2023-02-06,"Which of the following statements best describes your right to work in Australia?
"
https://www.seek.com.au/job/60065371?type=standout,Camden South Family Doctors,"Camden South, Sydney NSW",Medical Administration (Healthcare & Medical),2023-02-06,2023-02-06,"Do you have customer service experience?
Do you have experience in administration?
Which of the following statements best describes your Covid-19 vaccination status?
Which of the following Microsoft Office products are you experienced with?
Have you completed a qualification in business administration?
"
https://www.seek.com.au/job/60068759?type=standard,Harris Black Chartered Accountants,Brisbane QLD,Receptionists (Administration & Office Support),2023-02-06,2023-02-06,"Which of the following Microsoft Office products are you experienced with?
Which of the following statements best describes your right to work in Australia?
Do you have customer service experience?
Do you have experience in administration?
"
https://www.seek.com.au/job/60032590?type=standard,CCA Mortgage Solutions,Melbourne VIC,Administrative Assistants (Administration & Office Support),2023-02-06,2023-02-03,"Which of the following statements best describes your right to work in Australia?
How many years' experience do you have as a Loans Support Officer?
Have you worked in a role which requires a sound understanding of the National Consumer Credit Protection (NCCP) act?
"
https://www.seek.com.au/job/60038117?type=standard,Palladium International Pty Ltd -Pacific Labour Facility,Brisbane QLD,Data Entry & Word Processing (Administration & Office Support),2023-02-06,2023-02-03,
https://www.seek.com.au/job/60067802?type=standout,The Royal Prince Alfred Yacht Club,"Newport, Sydney NSW",Administrative Assistants (Administration & Office Support),2023-02-06,2023-02-06,"Do you have experience in administration?
Do you have customer service experience?
"
https://www.seek.com.au/job/60026128?type=standout,SSI,"Liverpool, Sydney NSW",Receptionists (Administration & Office Support),2023-02-06,2023-02-03,
https://www.seek.com.au/job/60068806?type=standout,EST10,Sydney NSW,Administrative Assistants (Administration & Office Support),2023-02-06,2023-02-06,"Which of the following statements best describes your right to work in Australia?
"
https://www.seek.com.au/job/59997363?type=standout,Apex Homes,"North Melbourne, Melbourne VIC",Administrative Assistants (Administration & Office Support),2023-02-06,2023-02-02,"Do you have experience in administration?
Do you have experience working on residential construction projects?
"
https://www.seek.com.au/job/60020612?type=standard,Women and Children First,"Dee Why, Sydney NSW",Receptionists (Administration & Office Support),2023-02-06,2023-02-03,"Do you have experience in administration?
Which of the following Microsoft Office products are you experienced with?
Do you have experience working in the not-for-profit sector?
Which of the following statements best describes your right to work in Australia?
How many years' experience do you have as a receptionist?
Do you have a current Working With Children (WWC) Check?
Do you have a current Police Check (National Police Certificate) for employment?
"
https://www.seek.com.au/job/60068828?type=standout,Regis,"Ferny Grove, Brisbane QLD",Receptionists (Administration & Office Support),2023-02-06,2023-02-06,
https://www.seek.com.au/job/60065168?type=standard,Pepmint Services Group,Brisbane QLD,Administrative Assistants (Administration & Office Support),2023-02-06,2023-02-05,"Do you have experience in administration?
Which of the following Microsoft Office products are you experienced with?
Do you have experience using Xero?
Do you have data entry experience?
"
